,0
0,0.0
1,1.2604413077811402e-15
2,4.317926337729287e-14
3,7.193754770326047e-13
4,7.774133806934351e-12
5,6.134403694665346e-11
6,3.7733594461619574e-10
7,1.8870371511384934e-09
8,7.904347703816458e-09
9,2.8368023223545984e-08
10,8.883700694356365e-08
11,2.465089707027498e-07
12,6.142713497075937e-07
13,1.3911252726703606e-06
14,2.894309102084989e-06
15,5.5867525434419555e-06
16,1.0094128565247698e-05
17,1.7208325854608767e-05
18,2.787725918718604e-05
19,4.3183324611421886e-05
20,6.431401753435667e-05
21,9.252842309704181e-05
22,0.00012912283703241247
23,0.0001753980262737127
24,0.00023262983408361076
25,0.0003020441140032345
26,0.00038479640065369026
27,0.0004819563041662241
28,0.0005944963336601236
29,0.0007232846876634063
30,0.0008690814677942294
31,0.0010325377512584
32,0.001214196977121647
33,0.0014144981450273206
34,0.00163378038150154
35,0.0018722884902093887
36,0.0021301791632433375
37,0.0024075275875216507
38,0.0027043342318842653
39,0.003020531645724335
40,0.003355991138862182
41,0.0037105292451333097
42,0.004083913899328957
43,0.004475870279310749
44,0.004886086282966492
45,0.005314217623811632
46,0.005759892540055588
47,0.006222716120371021
48,0.006702274255890061
49,0.007198137232504526
50,0.0077098629807074055
51,0.008237000002265809
52,0.008779089994199416
53,0.009335670191049033
54,0.009906275446416986
55,0.010490440074374836
56,0.011087699470668518
57,0.01169759153278925
58,0.012319657896986748
59,0.012953445009229967
60,0.013598505046010192
61,0.014254396699761685
62,0.014920685842568834
63,0.015596946080752972
64,0.016282759211897837
65,0.016977715594888657
66,0.017681414442610805
67,0.018393464046082494
68,0.019113481937983588
69,0.019841095002788207
70,0.02057593954001206
71,0.021317661286443437
72,0.02206591540263766
73,0.022820366428415822
74,0.023580688211616036
75,0.02434656381389754
76,0.025117685396990223
77,0.02589375409241293
78,0.02667447985734917
79,0.0274595813190664
80,0.02824878560999243
81,0.02904182819531651
82,0.02983845269476156
83,0.030638410699975343
84,0.0314414615888102
85,0.03224737233760115
86,0.03305591733240958
87,0.03386687818007203
88,0.03468004351977982
89,0.035495208835813696
90,0.03631217627196773
91,0.03713075444811651
92,0.03795075827930866
93,0.03877200879770672
94,0.039594332977638154
95,0.040417563563972955
96,0.04124153890400033
97,0.04206610278293929
98,0.04289110426318451
99,0.043716397527359806
100,0.044129099193427654
