,0
0,-0.0003853594884263148
1,0.0002754934186686156
2,0.0006183116145987457
3,0.0008928954258641202
4,0.001147458844789869
5,0.0013968241095292375
6,0.0016479976948033095
7,0.0019051590333667755
8,0.002171224579362005
9,0.0024484741103837884
10,0.002738843014091595
11,0.003044073367283053
12,0.0033657972477375937
13,0.0037055838836753453
14,0.004064965442526589
15,0.004445448753973993
16,0.00484851659641589
17,0.005275620237477333
18,0.0057281638152917435
19,0.0062074804761632595
20,0.00671479975880957
21,0.007251205450842532
22,0.007817583008394392
23,0.008414555625729486
24,0.009042408190901295
25,0.009700998704850352
26,0.010389657325528632
27,0.011107074082879276
28,0.011851177549934798
29,0.012619008389722955
30,0.013406593732204498
31,0.014208830714798535
32,0.01501939009785925
33,0.015830653374712463
34,0.01663369882294891
35,0.01741835293524898
36,0.018173322967541664
37,0.018886423287609203
38,0.01954490229025544
39,0.020135867722165378
40,0.020646796770026173
41,0.02106610438551061
42,0.021383730960259816
43,0.02159170103100314
44,0.021684600611601924
45,0.021659923803218545
46,0.0215182500527734
47,0.021263230708109242
48,0.02090138469310849
49,0.020441724538654185
50,0.0198952518995284
51,0.01927437315034723
52,0.018592289283582433
53,0.017862410430624948
54,0.017097835602411182
55,0.016310925199829827
56,0.015512980069539167
57,0.01471402850430981
58,0.013922712963051306
59,0.01314626195454666
60,0.012390529364530702
61,0.01166008295332867
62,0.010958325067059299
63,0.010287631044298315
64,0.009649493731786234
65,0.009044665481965178
66,0.008473291693837403
67,0.007935032220666735
68,0.007429168752554401
69,0.006954697607076708
70,0.006510408283780702
71,0.0060949487314984315
72,0.005706878615867417
73,0.005344712026006108
74,0.0050069510810797505
75,0.004692111834827724
76,0.004398743763270832
77,0.004125443982527614
78,0.0038708671969955514
79,0.003633732234216504
80,0.0034128258882748282
81,0.0032070046721783124
82,0.0030151949728231572
83,0.0028363920099333364
84,0.0026696579220365706
85,0.002514119236869852
86,0.0023689639291631097
87,0.002233438224051253
88,0.002106843267990053
89,0.0019885317596917956
90,0.0018779046100850698
91,0.00177440768162105
92,0.0016775286425228313
93,0.0015867939600662287
94,0.0015017660480717496
95,0.0014220405769657853
96,0.0013472439496128642
97,0.0012770309422857021
98,0.0012110825073457943
99,0.0011491037322284747
100,0.0010908219479810028
101,0.0010359849797448363
102,0.0009843595310882493
103,0.0009357296938909688
104,0.0008898955754863177
105,0.0008466720349217543
106,0.0008058875204614768
107,0.0007673830007906705
108,0.0007310109827638086
109,0.0006966346089490743
110,0.0006641268286424983
111,0.0006333696364475865
112,0.0006042533729310079
113,0.0005766760822664961
114,0.0005505429221636915
115,0.0005257656217435918
116,0.0005022619833662181
117,0.0004799554247383635
118,0.00045877455792980236
119,0.00043865280220550855
120,0.0004195280278399192
121,0.00040134222831791433
122,0.00038404121854713634
123,0.00036757435690840963
124,0.0003518942891566953
125,0.0003369567123551793
126,0.00032272015718097963
127,0.000309145787083559
128,0.00029619721290732176
129,0.000283840321709015
130,0.00027204311860935506
131,0.00026077558061764124
132,0.0002500095214587662
133,0.00023971846651476606
134,0.00022987753706852655
135,0.0002204633431061126
136,0.00021145388399701937
137,0.00020282845642895258
138,0.00019456756902604163
139,0.00018665286312712125
140,0.00017906703924427166
141,0.00017179378876157914
142,0.00016481773047039236
143,0.00015812435157051415
144,0.00015169995279707885
145,0.00014553159736055285
146,0.00013960706341261837
147,0.00013391479977385487
148,0.00012844388468031235
149,0.00012318398732545844
150,0.00011812533199172817
151,0.00011325866458215612
152,0.00010857522137746934
153,0.00010406669985766206
154,9.97252314395961e-05
155,9.554335599365013e-05
156,9.151399801297634e-05
157,8.7630444318602e-05
158,8.388632319249415e-05
159,8.027558483887461e-05
160,7.679248308157704e-05
161,7.343155821213882e-05
162,7.018762090967719e-05
163,6.705573715943846e-05
164,6.403121410229927e-05
165,6.110958675245482e-05
166,5.828660552510071e-05
167,5.5558224520131855e-05
168,5.292059051176921e-05
169,5.0370032597612435e-05
170,4.7903052463931825e-05
171,4.5516315227070876e-05
172,4.320664081366007e-05
173,4.0970995844955315e-05
174,3.8806485993033056e-05
175,3.6710348778810255e-05
176,3.467994678392732e-05
177,3.271276125045112e-05
178,3.080638604412883e-05
179,2.895852195857093e-05
180,2.7166971339267514e-05
181,2.5429633007756848e-05
182,2.374449746757904e-05
183,2.210964237486651e-05
184,2.05232282575555e-05
185,1.8983494468254012e-05
186,1.7488755356779508e-05
187,1.6037396649288365e-05
188,1.4627872021764143e-05
189,1.3258699856418328e-05
190,1.1928460170289194e-05
191,1.0635791706006137e-05
192,9.379389175321465e-06
193,8.158000646603677e-06
194,6.970425068037572e-06
195,5.815509918790803e-06
196,4.692148980886399e-06
197,3.5992802249685956e-06
198,2.5358838035670707e-06
199,1.5009801458552095e-06
200,4.93628148262651e-07
201,-4.87076544356891e-07
